,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06010_001E,B06010_002E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B09010_001E,state
0,,,,,,,,,,,,,,,,,729577,72
1,3276637,481059,1012551,979449,503930,299648,3941362,580888,708808,402294,595121,431768,450574,300156,114417,357336,1100289,1
2,475442,36177,131293,170151,88308,49513,582153,30200,112064,40684,73063,60864,72968,58042,29023,105245,185534,2
3,4516175,609649,1091339,1530530,802435,482222,5462011,868051,857030,475855,779987,617808,667694,425918,172418,597250,1619346,4
4,1985770,286117,681486,580739,280677,156751,2391724,334787,421423,257083,390083,287161,282282,173528,64965,180412,702463,5
5,25950818,4543530,5345542,7608015,5291984,3161747,31419652,5379187,4672006,2862827,4074565,2982738,3151993,2335805,1062532,4897999,9092119,6
6,3668477,325019,791683,1105302,909794,536679,4391535,494611,661652,332005,557672,493004,580068,415610,179943,676970,1248678,8
7,2480297,242500,673582,611016,532055,421144,2975923,347203,434863,215224,362475,291791,348451,280675,133918,561323,760757,9
8,477843,46497,84119,76804,113830,156593,569884,64430,92481,33264,49765,43885,55405,51917,27421,151316,117383,11
9,651540,69644,203135,176992,117478,84291,774426,99095,115125,60151,99333,89359,100505,73326,31630,105902,203427,10
10,14396066,1787348,4170468,4342392,2616384,1479474,16886151,2544652,2642621,1623848,2661012,1998470,2005811,1244031,484733,1680973,4099647,12
11,6693826,919657,1877212,1893426,1241995,761536,8129024,1315749,1330312,721292,1132034,891464,939900,643847,255966,898460,2494505,13
12,984320,82460,273162,313348,209097,106253,1161603,145537,161418,83181,149786,138129,162906,113879,48161,158606,306057,15
13,1065313,103895,292202,384075,194303,90838,1295350,156519,241592,122156,200139,159895,158632,100862,37988,117567,433381,16
14,8666079,991424,2281524,2494547,1776326,1122258,10410424,1455849,1617052,804330,1400519,1100242,1217164,913436,400245,1501587,2953528,17
15,4369451,510793,1474872,1277478,704841,401467,5309479,655610,896153,475644,780699,656682,704360,458381,177130,504820,1572408,18
16,2067914,168645,651750,675094,386963,185462,2511755,214432,410163,215750,362432,321359,378627,250490,96672,261830,725909,19
17,1886741,179213,494849,602333,389007,221339,2304149,244144,377443,197174,330430,284133,322384,210640,81463,256338,716433,20
18,2986199,441659,988521,863451,406916,285652,3584178,450574,678943,356964,544284,420347,438382,285323,106866,302495,1009303,21
19,961086,75628,310724,283707,185832,105195,1120835,89654,195800,111221,176317,145196,152514,102173,40389,107571,255890,23
20,3092069,486085,1046025,836507,473914,249538,3734802,592375,671347,362880,532636,389543,415138,282247,112754,375882,1110513,22
21,4706536,458080,1162683,1104912,1101605,879256,5656501,597499,887046,442637,663621,556019,647984,540030,260447,1061218,1377139,25
22,4095427,417716,1027608,1053106,860298,736699,4879229,597136,691175,320115,539258,483975,571546,471747,230135,974142,1345126,24
23,6719972,656683,1966110,2210138,1147842,739199,8117417,984130,1441427,740080,1164718,933901,1004441,672375,284761,891584,2202747,26
24,3698605,267049,938846,1206960,849439,436311,4418152,349568,681624,348975,575314,516420,640929,467111,196845,641366,1282092,27
25,1956101,325278,594140,619365,259993,157325,2383825,394364,450274,250451,356890,270226,273960,162446,59929,165285,723344,28
26,4100209,442422,1268884,1233194,718198,437511,4924498,559303,841082,458310,737642,609053,653027,414398,163976,487707,1383411,29
27,703919,49444,206323,231844,145089,71219,841483,74385,151325,82145,133775,108436,109067,72785,28503,81062,224936,30
28,1233842,112366,329232,414792,251182,126270,1499899,127635,245837,126665,213859,196965,219147,148353,57126,164312,467962,31
29,939471,67278,262891,270744,209224,129334,1118047,93157,168256,86994,148077,126348,156442,112460,50533,175780,263023,33
30,1968023,278818,556851,666233,306611,159510,2329582,347098,328011,191583,344321,298300,298836,192966,82207,246260,668843,32
31,6163699,666782,1722597,1426484,1439971,907865,7314415,1038094,1027222,527609,889882,688198,764280,661305,310861,1406964,1994191,34
32,1381630,207487,365014,437835,208790,162504,1670789,262554,306279,165976,243114,175889,183760,120686,51259,161272,496115,35
33,13660809,1895439,3591287,3353270,2718987,2101826,16320861,2387971,2532610,1345541,2051443,1608847,1815401,1396352,626243,2556453,4178738,36
34,6784048,889694,1771742,2096896,1303604,722112,8154450,1093466,1346179,779114,1231966,972941,1019333,643321,241912,826218,2284758,37
35,485490,37462,131653,176105,102497,37773,600828,44300,93410,46980,77453,76301,94482,63355,24157,80390,169855,38
36,7888150,805643,2646608,2287272,1341204,807423,9445755,1042083,1656931,833493,1384231,1131168,1218068,834560,348950,996271,2621821,39
37,2553488,318653,803755,796716,422888,211476,3096132,423044,525594,290781,464360,373296,390729,242378,97515,288435,953556,40
38,2797953,273693,655921,965412,561492,341435,3308259,378983,566748,293785,492027,381031,398349,277313,118768,401255,861443,41
39,8885953,898982,3161786,2151966,1621733,1051486,10579008,1211177,1779374,898583,1493815,1215842,1341548,952688,405533,1280448,2679307,42
40,729261,92361,203355,193149,144515,95881,883773,93765,150073,77698,116881,93711,109553,82139,37678,122275,209868,44
41,3325601,447476,978521,1001523,571099,326982,3987945,532998,682750,398966,618970,478187,486031,311056,118114,360873,1087655,45
42,560605,48034,170912,185545,109468,46646,677559,51815,117406,58254,99692,93955,108561,63467,21985,62424,209448,46
43,4478450,603524,1461364,1246789,738613,428160,5355966,704887,930656,534542,824827,634719,668256,411832,153706,492541,1494233,47
44,17454431,3005904,4372430,5065702,3288777,1721618,21394996,3560726,3382754,1781752,2928742,2257209,2385812,1754775,702314,2640912,7198406,48
45,1743090,143466,397812,634661,375297,191854,2226015,305960,407092,177808,290843,247323,266468,187945,80753,261823,908177,49
46,437900,33883,129511,113364,95590,65552,527332,39079,90335,48116,76638,65900,77291,51060,20165,58748,119245,50
47,5680765,623937,1378738,1544593,1220919,912578,6814328,830659,1043489,522306,850586,699521,817892,603473,263791,1182611,1862018,51
48,1293665,182074,524710,329460,155423,101998,1525411,209388,291818,151307,242480,177969,177409,112687,42655,119698,375177,54
49,4896055,448558,1101904,1658245,1064440,622908,5823118,706106,888257,430061,745472,624142,715819,532993,241837,938431,1612244,53
50,388617,28130,111594,144939,67798,36156,466777,41397,74349,39920,63764,56636,62005,47008,20145,61553,137772,56
51,3907816,323799,1222791,1226745,748413,386068,4693889,409859,746993,419576,686288,586015,686093,469950,188694,500421,1292149,55
