,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001,state
0,Alabama,4779736,3275394,1251311,28218,53595,3057,96910,71251,4594134,37.9,36.4,39.1,1883791,2.48,1132459,1
1,Alaska,710231,473576,23263,104871,38135,7409,11102,51875,670982,33.8,33.6,34.1,258058,2.65,187378,2
2,Arizona,6392017,4667121,259008,296529,176695,12648,761716,218300,4496868,35.9,34.8,37.2,2380990,2.63,1629014,4
3,Arkansas,2915918,2245229,449895,22248,36102,5863,99571,57010,2729868,37.4,36.1,38.7,1147084,2.47,711475,5
4,California,37253956,21453934,2299072,362801,4861007,144386,6317372,1815384,23240237,35.2,34,36.3,12577498,2.9,9295040,6
5,Louisiana,4533372,2836192,1452396,30579,70132,1963,69227,72883,4340812,35.8,34.5,37.2,1728360,2.55,1118015,22
6,Kentucky,4339367,3809537,337520,10120,48930,2501,55551,75208,4206531,38.1,36.7,39.3,1719965,2.45,1023371,21
7,Colorado,5029196,4089202,201737,56010,139028,6623,364140,172456,3990509,36.1,35.1,37.1,1972868,2.49,1225609,8
8,Connecticut,3574097,2772410,362296,11256,135565,1428,198466,92676,3095010,40,38.5,41.3,1371087,2.52,817015,9
9,Delaware,897934,618617,191814,4181,28549,400,30519,23854,824713,38.8,37.4,40.1,342297,2.55,205765,10
10,District of Columbia,601723,231471,305125,2079,21056,302,24374,17316,546974,33.8,33.6,34,266707,2.11,100815,11
11,Florida,18801310,14109162,2999862,71458,454821,12286,681144,472577,14577504,40.7,39.4,42.1,7420802,2.48,4002091,12
12,Georgia,9687653,5787440,2950435,32151,314467,6799,388872,207489,8833964,35.3,34.1,36.5,3585584,2.63,2491552,13
13,Hawaii,1360301,336599,21424,4164,525078,135422,16985,320629,1239459,38.6,37.2,39.9,455338,2.89,303818,15
14,Idaho,1567582,1396487,9810,21441,19069,2317,79523,38935,1391681,34.6,33.7,35.4,579408,2.66,429072,16
15,Illinois,12830632,9177877,1866414,43963,586934,4050,861412,289982,10803054,36.6,35.2,37.9,4836972,2.59,3129179,17
16,Indiana,6483802,5467906,591397,18462,102474,2348,173314,127901,6094095,37,35.7,38.2,2502154,2.52,1608298,18
17,Iowa,3046355,2781561,89148,11084,53094,2003,56132,53333,2894811,38.1,36.6,39.5,1221576,2.41,727993,19
18,Kansas,2853118,2391044,167864,28150,67762,2238,110127,85933,2553076,36,34.7,37.4,1112096,2.49,726939,20
19,Maine,1328361,1264971,15707,8568,13571,342,4261,20941,1311426,42.7,41.5,43.8,557219,2.32,274533,23
20,Maryland,5773552,3359284,1700298,20420,318853,3157,206832,164708,5302920,38,36.4,39.3,2156411,2.61,1352964,24
21,Massachusetts,6547629,5265236,434398,18850,349768,2223,305151,172003,5919975,39.1,37.7,40.3,2547075,2.48,1418923,25
22,Michigan,9883640,7803120,1400362,62007,238199,2604,147029,230319,9447282,38.9,37.6,40,3872508,2.49,2344068,26
23,Minnesota,5303925,4524062,274412,60916,214234,2156,103000,125145,5053667,37.4,36.3,38.4,2087227,2.48,1284063,27
24,Mississippi,2967297,1754684,1098385,15030,25742,1187,38162,34107,2885816,36,34.5,37.5,1115768,2.58,755555,28
25,Missouri,5988927,4958770,693391,27376,98083,6261,80457,124589,5776457,37.9,36.5,39.2,2375611,2.45,1425436,29
26,Montana,989415,884961,4027,62555,6253,668,5975,24976,960850,39.8,38.8,41,409607,2.35,223563,30
27,Nebraska,1826341,1572838,82885,18427,32293,1279,79109,39510,1658936,36.2,35,37.5,721130,2.46,459221,31
28,Nevada,2700551,1786688,218626,32062,195436,16871,324793,126075,1984050,36.3,35.8,36.9,1006250,2.65,665008,32
29,New Hampshire,1316470,1236050,15035,3150,28407,384,12062,21382,1279766,41.1,40.2,42,518973,2.46,287234,33
30,New Jersey,8791894,6029248,1204826,29026,725726,3043,559722,240303,7236750,39,37.4,40.3,3214360,2.68,2065214,34
31,New Mexico,2059179,1407876,42550,193222,28208,1810,308503,77010,1105776,36.7,35.3,38,791395,2.55,518672,35
32,New York,19378102,12740974,3073800,106906,1420244,8766,1441563,585849,15961180,38,36.3,39.4,7317755,2.57,4324929,36
33,North Carolina,9535483,6528950,2048628,122110,208962,6604,414030,206199,8735363,37.4,36,38.7,3745155,2.48,2281635,37
34,North Dakota,672591,605449,7960,36591,6909,320,3509,11853,659124,37,35.5,38.7,281192,2.3,149871,38
35,Ohio,11536504,9539437,1407681,25292,192233,4066,130030,237765,11181830,38.8,37.4,40,4603435,2.44,2730751,39
36,Oklahoma,3751351,2706845,277644,321687,65076,4369,154409,221321,3419344,36.2,34.9,37.7,1460450,2.49,929666,40
37,Oregon,3831074,3204614,69206,53203,141263,13404,204625,144759,3381012,38.4,37.3,39.5,1518938,2.47,866453,41
38,Pennsylvania,12702379,10406288,1377689,26843,349088,3653,300983,237835,11982719,40.1,38.7,41.5,5018904,2.45,2792155,42
39,Rhode Island,1052567,856869,60189,6058,30457,554,63653,34787,921912,39.4,37.8,40.8,413600,2.44,223956,44
40,South Carolina,4625364,3060000,1290684,19524,59051,2706,113464,79935,4389682,37.9,36.4,39.2,1801181,2.49,1080474,45
41,South Dakota,814180,699392,10207,71817,7610,394,7477,17283,792061,36.9,35.6,38.2,322282,2.42,202797,46
42,Tennessee,6346105,4921948,1057315,19994,91242,3642,141955,110009,6056046,38,36.7,39.2,2493552,2.48,1496001,47
43,Texas,25145561,17701552,2979598,170972,964596,21656,2628186,679001,15684640,33.6,32.6,34.6,8922933,2.75,6865824,48
44,Utah,2763885,2379560,29287,32927,55285,24554,166754,75518,2405545,29.2,28.7,29.7,877692,3.1,871027,49
45,Vermont,625741,596292,6277,2207,7947,160,2105,10753,616533,41.5,40.4,42.7,256442,2.34,129233,50
46,Virginia,8001024,5486852,1551399,29225,439890,5980,254278,233400,7369199,37.5,36.1,38.7,3056058,2.54,1853677,51
47,Washington,6724540,5196362,240042,103869,481067,40475,349799,312926,5968750,37.3,36.2,38.3,2620076,2.51,1581354,53
48,West Virginia,1852994,1739988,63124,3787,12406,428,6119,27142,1830726,41.3,40.1,42.6,763831,2.36,387418,54
49,Wisconsin,5686986,4902067,359148,54526,129234,1827,135867,104317,5350930,38.5,37.3,39.6,2279768,2.43,1339492,55
50,Wyoming,563626,511279,4748,13336,4426,427,17049,12361,513395,36.8,36,37.7,226879,2.42,135402,56
51,Puerto Rico,3725789,2825100,461498,19839,6831,370,289905,122246,37334,36.9,35.1,38.6,1376531,2.68,903295,72
