,B19058_002E,state
0,479339.0,72
1,285458.0,01
2,32796.0,02
3,324442.0,04
4,160968.0,05
5,1341565.0,06
6,185850.0,08
7,179969.0,09
8,42177.0,11
9,44866.0,10
10,1126772.0,12
11,547107.0,13
12,56075.0,15
13,74493.0,16
14,669808.0,17
15,302891.0,18
16,148087.0,19
17,103013.0,20
18,286281.0,21
19,89116.0,23
20,284842.0,22
21,337609.0,25
22,251511.0,24
23,603211.0,26
24,202608.0,27
25,195794.0,28
26,304848.0,29
27,45141.0,30
28,69742.0,31
29,44292.0,33
30,137518.0,32
31,318122.0,34
32,134984.0,35
33,1166650.0,36
34,550334.0,37
35,24308.0,38
36,689048.0,39
37,208025.0,40
38,291719.0,41
39,686848.0,42
40,69852.0,44
41,270006.0,45
42,38686.0,46
43,411828.0,47
44,1235311.0,48
45,78160.0,49
46,35438.0,50
47,298963.0,51
48,125803.0,54
49,387330.0,53
50,14892.0,56
51,296630.0,55
