,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001,state
0,Alabama,4779736.0,3275394.0,1251311.0,28218.0,53595.0,3057.0,96910.0,71251.0,4594134.0,37.9,36.4,39.1,1883791.0,2.48,1132459.0,01
1,Alaska,710231.0,473576.0,23263.0,104871.0,38135.0,7409.0,11102.0,51875.0,670982.0,33.8,33.6,34.1,258058.0,2.65,187378.0,02
2,Arizona,6392017.0,4667121.0,259008.0,296529.0,176695.0,12648.0,761716.0,218300.0,4496868.0,35.9,34.8,37.2,2380990.0,2.63,1629014.0,04
3,Arkansas,2915918.0,2245229.0,449895.0,22248.0,36102.0,5863.0,99571.0,57010.0,2729868.0,37.4,36.1,38.7,1147084.0,2.47,711475.0,05
4,California,37253956.0,21453934.0,2299072.0,362801.0,4861007.0,144386.0,6317372.0,1815384.0,23240237.0,35.2,34.0,36.3,12577498.0,2.9,9295040.0,06
5,Louisiana,4533372.0,2836192.0,1452396.0,30579.0,70132.0,1963.0,69227.0,72883.0,4340812.0,35.8,34.5,37.2,1728360.0,2.55,1118015.0,22
6,Kentucky,4339367.0,3809537.0,337520.0,10120.0,48930.0,2501.0,55551.0,75208.0,4206531.0,38.1,36.7,39.3,1719965.0,2.45,1023371.0,21
7,Colorado,5029196.0,4089202.0,201737.0,56010.0,139028.0,6623.0,364140.0,172456.0,3990509.0,36.1,35.1,37.1,1972868.0,2.49,1225609.0,08
8,Connecticut,3574097.0,2772410.0,362296.0,11256.0,135565.0,1428.0,198466.0,92676.0,3095010.0,40.0,38.5,41.3,1371087.0,2.52,817015.0,09
9,Delaware,897934.0,618617.0,191814.0,4181.0,28549.0,400.0,30519.0,23854.0,824713.0,38.8,37.4,40.1,342297.0,2.55,205765.0,10
10,District of Columbia,601723.0,231471.0,305125.0,2079.0,21056.0,302.0,24374.0,17316.0,546974.0,33.8,33.6,34.0,266707.0,2.11,100815.0,11
11,Florida,18801310.0,14109162.0,2999862.0,71458.0,454821.0,12286.0,681144.0,472577.0,14577504.0,40.7,39.4,42.1,7420802.0,2.48,4002091.0,12
12,Georgia,9687653.0,5787440.0,2950435.0,32151.0,314467.0,6799.0,388872.0,207489.0,8833964.0,35.3,34.1,36.5,3585584.0,2.63,2491552.0,13
13,Hawaii,1360301.0,336599.0,21424.0,4164.0,525078.0,135422.0,16985.0,320629.0,1239459.0,38.6,37.2,39.9,455338.0,2.89,303818.0,15
14,Idaho,1567582.0,1396487.0,9810.0,21441.0,19069.0,2317.0,79523.0,38935.0,1391681.0,34.6,33.7,35.4,579408.0,2.66,429072.0,16
15,Illinois,12830632.0,9177877.0,1866414.0,43963.0,586934.0,4050.0,861412.0,289982.0,10803054.0,36.6,35.2,37.9,4836972.0,2.59,3129179.0,17
16,Indiana,6483802.0,5467906.0,591397.0,18462.0,102474.0,2348.0,173314.0,127901.0,6094095.0,37.0,35.7,38.2,2502154.0,2.52,1608298.0,18
17,Iowa,3046355.0,2781561.0,89148.0,11084.0,53094.0,2003.0,56132.0,53333.0,2894811.0,38.1,36.6,39.5,1221576.0,2.41,727993.0,19
18,Kansas,2853118.0,2391044.0,167864.0,28150.0,67762.0,2238.0,110127.0,85933.0,2553076.0,36.0,34.7,37.4,1112096.0,2.49,726939.0,20
19,Maine,1328361.0,1264971.0,15707.0,8568.0,13571.0,342.0,4261.0,20941.0,1311426.0,42.7,41.5,43.8,557219.0,2.32,274533.0,23
20,Maryland,5773552.0,3359284.0,1700298.0,20420.0,318853.0,3157.0,206832.0,164708.0,5302920.0,38.0,36.4,39.3,2156411.0,2.61,1352964.0,24
21,Massachusetts,6547629.0,5265236.0,434398.0,18850.0,349768.0,2223.0,305151.0,172003.0,5919975.0,39.1,37.7,40.3,2547075.0,2.48,1418923.0,25
22,Michigan,9883640.0,7803120.0,1400362.0,62007.0,238199.0,2604.0,147029.0,230319.0,9447282.0,38.9,37.6,40.0,3872508.0,2.49,2344068.0,26
23,Minnesota,5303925.0,4524062.0,274412.0,60916.0,214234.0,2156.0,103000.0,125145.0,5053667.0,37.4,36.3,38.4,2087227.0,2.48,1284063.0,27
24,Mississippi,2967297.0,1754684.0,1098385.0,15030.0,25742.0,1187.0,38162.0,34107.0,2885816.0,36.0,34.5,37.5,1115768.0,2.58,755555.0,28
25,Missouri,5988927.0,4958770.0,693391.0,27376.0,98083.0,6261.0,80457.0,124589.0,5776457.0,37.9,36.5,39.2,2375611.0,2.45,1425436.0,29
26,Montana,989415.0,884961.0,4027.0,62555.0,6253.0,668.0,5975.0,24976.0,960850.0,39.8,38.8,41.0,409607.0,2.35,223563.0,30
27,Nebraska,1826341.0,1572838.0,82885.0,18427.0,32293.0,1279.0,79109.0,39510.0,1658936.0,36.2,35.0,37.5,721130.0,2.46,459221.0,31
28,Nevada,2700551.0,1786688.0,218626.0,32062.0,195436.0,16871.0,324793.0,126075.0,1984050.0,36.3,35.8,36.9,1006250.0,2.65,665008.0,32
29,New Hampshire,1316470.0,1236050.0,15035.0,3150.0,28407.0,384.0,12062.0,21382.0,1279766.0,41.1,40.2,42.0,518973.0,2.46,287234.0,33
30,New Jersey,8791894.0,6029248.0,1204826.0,29026.0,725726.0,3043.0,559722.0,240303.0,7236750.0,39.0,37.4,40.3,3214360.0,2.68,2065214.0,34
31,New Mexico,2059179.0,1407876.0,42550.0,193222.0,28208.0,1810.0,308503.0,77010.0,1105776.0,36.7,35.3,38.0,791395.0,2.55,518672.0,35
32,New York,19378102.0,12740974.0,3073800.0,106906.0,1420244.0,8766.0,1441563.0,585849.0,15961180.0,38.0,36.3,39.4,7317755.0,2.57,4324929.0,36
33,North Carolina,9535483.0,6528950.0,2048628.0,122110.0,208962.0,6604.0,414030.0,206199.0,8735363.0,37.4,36.0,38.7,3745155.0,2.48,2281635.0,37
34,North Dakota,672591.0,605449.0,7960.0,36591.0,6909.0,320.0,3509.0,11853.0,659124.0,37.0,35.5,38.7,281192.0,2.3,149871.0,38
35,Ohio,11536504.0,9539437.0,1407681.0,25292.0,192233.0,4066.0,130030.0,237765.0,11181830.0,38.8,37.4,40.0,4603435.0,2.44,2730751.0,39
36,Oklahoma,3751351.0,2706845.0,277644.0,321687.0,65076.0,4369.0,154409.0,221321.0,3419344.0,36.2,34.9,37.7,1460450.0,2.49,929666.0,40
37,Oregon,3831074.0,3204614.0,69206.0,53203.0,141263.0,13404.0,204625.0,144759.0,3381012.0,38.4,37.3,39.5,1518938.0,2.47,866453.0,41
38,Pennsylvania,12702379.0,10406288.0,1377689.0,26843.0,349088.0,3653.0,300983.0,237835.0,11982719.0,40.1,38.7,41.5,5018904.0,2.45,2792155.0,42
39,Rhode Island,1052567.0,856869.0,60189.0,6058.0,30457.0,554.0,63653.0,34787.0,921912.0,39.4,37.8,40.8,413600.0,2.44,223956.0,44
40,South Carolina,4625364.0,3060000.0,1290684.0,19524.0,59051.0,2706.0,113464.0,79935.0,4389682.0,37.9,36.4,39.2,1801181.0,2.49,1080474.0,45
41,South Dakota,814180.0,699392.0,10207.0,71817.0,7610.0,394.0,7477.0,17283.0,792061.0,36.9,35.6,38.2,322282.0,2.42,202797.0,46
42,Tennessee,6346105.0,4921948.0,1057315.0,19994.0,91242.0,3642.0,141955.0,110009.0,6056046.0,38.0,36.7,39.2,2493552.0,2.48,1496001.0,47
43,Texas,25145561.0,17701552.0,2979598.0,170972.0,964596.0,21656.0,2628186.0,679001.0,15684640.0,33.6,32.6,34.6,8922933.0,2.75,6865824.0,48
44,Utah,2763885.0,2379560.0,29287.0,32927.0,55285.0,24554.0,166754.0,75518.0,2405545.0,29.2,28.7,29.7,877692.0,3.1,871027.0,49
45,Vermont,625741.0,596292.0,6277.0,2207.0,7947.0,160.0,2105.0,10753.0,616533.0,41.5,40.4,42.7,256442.0,2.34,129233.0,50
46,Virginia,8001024.0,5486852.0,1551399.0,29225.0,439890.0,5980.0,254278.0,233400.0,7369199.0,37.5,36.1,38.7,3056058.0,2.54,1853677.0,51
47,Washington,6724540.0,5196362.0,240042.0,103869.0,481067.0,40475.0,349799.0,312926.0,5968750.0,37.3,36.2,38.3,2620076.0,2.51,1581354.0,53
48,West Virginia,1852994.0,1739988.0,63124.0,3787.0,12406.0,428.0,6119.0,27142.0,1830726.0,41.3,40.1,42.6,763831.0,2.36,387418.0,54
49,Wisconsin,5686986.0,4902067.0,359148.0,54526.0,129234.0,1827.0,135867.0,104317.0,5350930.0,38.5,37.3,39.6,2279768.0,2.43,1339492.0,55
50,Wyoming,563626.0,511279.0,4748.0,13336.0,4426.0,427.0,17049.0,12361.0,513395.0,36.8,36.0,37.7,226879.0,2.42,135402.0,56
51,Puerto Rico,3725789.0,2825100.0,461498.0,19839.0,6831.0,370.0,289905.0,122246.0,37334.0,36.9,35.1,38.6,1376531.0,2.68,903295.0,72
